Movie,Actor
Vazir,Dilip Kotalgi
Vazir,Kamal Adeep
Vazir,Kamal Adib
Vazir,Pratibha Amrutey
Vazir,Varda Baal
Vazir,Sanjay D Rawal
Vazir,Sudhir Moghe
Vazir,Ujwal Thengdi
Vazir,Shreedhar Phadke
Vazir,Thomas A. Xavier
हर हर महादेव,Jagdish Raj
हर हर महादेव,Dara Singh Randhawa
हर हर महादेव,Jayshree Gadkar
हर हर महादेव,Shahu Modak
हर हर महादेव,Padma Khanna
हर हर महादेव,Chandrakant
हर हर महादेव,Anandji Veerji Shah
हर हर महादेव,Kalyanji Veerji Shah
हर हर महादेव,Abhi Bhattacharya
हर हर महादेव,Aruna Irani
Premaloka,V. Ravichandran
Premaloka,Juhi Chawla
Premaloka,Vishnuvardhan
Premaloka,Ambarish
Premaloka,Panchu Arunachalam
Premaloka,Hamsalekha
Premaloka,R. Madhusudhan
परिणति,Nandita Das
परिणति,Basant Josalkar
परिणति,Surekha Sikri
परिणति,Sudhir Kulkarni
परिणति,Sharda Desoares
परिणति,Prakash Jha
परिणति,H. Banerjee
परिणति,Vijayadan Detha
परिणति,Raghunath Seth
परिणति,B.D. Singh
लपवा छपवी,Alka Kubal
लपवा छपवी,Lata Arun
लपवा छपवी,Laxmikant Berde
लपवा छपवी,Priya Arun Berde
लपवा छपवी,Ramesh Bhatkar
लपवा छपवी,Arun Vasudev Karnatki
लपवा छपवी,Aruna Irani
लपवा छपवी,Nivedita Joshi
लपवा छपवी,Sudhir Joshi
लपवा छपवी,Avinash Kharshikar
Mahua,Aruna Irani
Mahua,Shiv Kumar
Mahua,Anjana Mumtaz
Mahua,Premnath Malhotra
Mahua,Murad
Mahua,Bibhuti Mitra
Mahua,Manohar Lal Sonik
Mahua,Om Prakash Sonik
Mahua,Ulhas
Mahua,Jankidas
Chhatrapati Shivaji,Parshwanath Yeshwant Altekar
Chhatrapati Shivaji,Chandrakant
Chhatrapati Shivaji,Gajanan Jagirdar
Chhatrapati Shivaji,Prithviraj Kapoor
Chhatrapati Shivaji,Bhalji Pendharkar
Chhatrapati Shivaji,C. Ramchandra
Chhatrapati Shivaji,Lata Mangeshkar
Chhatrapati Shivaji,Lalita Pawar
Chhatrapati Shivaji,Master Vithal
Dongalunnaru Jagratha,Satyam Lanka
Dongalunnaru Jagratha,Seeta Rama Anjaneyulu Chilakalapudi
Dongalunnaru Jagratha,Kongara Jaggaiah
Dongalunnaru Jagratha,Varalakshmi G.
Dongalunnaru Jagratha,Gummadi
Dongalunnaru Jagratha,Narasimha Rao Bhimavarapu
Dongalunnaru Jagratha,Valluri Balakrishna
Dongalunnaru Jagratha,Chadalavada
Dongalunnaru Jagratha,Girija
Dongalunnaru Jagratha,Hemalatha
Mortal Kombat,John Tobias
Mortal Kombat,Lewis Tan
Mortal Kombat,Jessica McNamee
Mortal Kombat,Josh Lawson
Mortal Kombat,Joe Taslim
Mortal Kombat,Simon McQuoid
Mortal Kombat,Greg Russo
Mortal Kombat,Dave Callaham
Mortal Kombat,Oren Uziel
Mortal Kombat,Ed Boon
Mathru Devo Bhava,Nassar
Mathru Devo Bhava,Tanikella Bharani
Mathru Devo Bhava,Brahmanandam
Mathru Devo Bhava,Charu Haasan
Mathru Devo Bhava,Madhavi
Mathru Devo Bhava,K. Ajayakumar
Mathru Devo Bhava,K.S. Rama Rao
Mathru Devo Bhava,M.M. Keeravani
Mathru Devo Bhava,Chota K. Naidu
Mathru Devo Bhava,Nivas
Wazir,Abhijeet Shirish Deshpande
Wazir,Amitabh Bachchan
Wazir,Farhan Akhtar
Wazir,Aditi Rao Hydari
Wazir,John Abraham
Wazir,Bejoy Nambiar
Wazir,Vidhu Vinod Chopra
Wazir,Abhijat Joshi
Wazir,Natasha Sahgal
Wazir,Shubhra Swarup
5/25/1977,John Lau
5/25/1977,John Francis Daley
5/25/1977,Austin Pendleton
5/25/1977,Kevin Rosendo
5/25/1977,Colleen Camp
5/25/1977,Patrick Read Johnson
5/25/1977,Peter James Bowers
5/25/1977,Steven G. Dalbec
5/25/1977,Leigh Jones
5/25/1977,Gary Kurtz
On the Road,Nathanaël Karmitz
On the Road,Sam Riley
On the Road,Garrett Hedlund
On the Road,Kristen Stewart
On the Road,Amy Adams
On the Road,Walter Salles
On the Road,Jack Kerouac
On the Road,Jose Rivera
On the Road,Roman Coppola
On the Road,Charles Gillibert
The Secret Life of Walter Mitty,Theodore Shapiro
The Secret Life of Walter Mitty,Ben Stiller
The Secret Life of Walter Mitty,Kristen Wiig
The Secret Life of Walter Mitty,Jon Daly
The Secret Life of Walter Mitty,Kathryn Hahn
The Secret Life of Walter Mitty,Steve Conrad
The Secret Life of Walter Mitty,James Thurber
The Secret Life of Walter Mitty,Stuart Cornfeld
The Secret Life of Walter Mitty,Samuel Goldwyn Jr.
The Secret Life of Walter Mitty,John Goldwyn
A Walk Among the Tombstones,Michael Shamberg
A Walk Among the Tombstones,Liam Neeson
A Walk Among the Tombstones,Dan Stevens
A Walk Among the Tombstones,David Harbour
A Walk Among the Tombstones,Boyd Holbrook
A Walk Among the Tombstones,Scott Frank
A Walk Among the Tombstones,Lawrence Block
A Walk Among the Tombstones,Tobin Armbrust
A Walk Among the Tombstones,Danny DeVito
A Walk Among the Tombstones,Brian Oliver
Jurassic World,Patrick Crowley
Jurassic World,Chris Pratt
Jurassic World,Bryce Dallas Howard
Jurassic World,Ty Simpkins
Jurassic World,Judy Greer
Jurassic World,Colin Trevorrow
Jurassic World,Rick Jaffa
Jurassic World,Amanda Silver
Jurassic World,Derek Connolly
Jurassic World,Michael Crichton
The Rum Diary,Robert Kravis
The Rum Diary,Johnny Depp
The Rum Diary,Giovanni Ribisi
The Rum Diary,Aaron Eckhart
The Rum Diary,Michael Rispoli
The Rum Diary,Bruce Robinson
The Rum Diary,Hunter S. Thompson
The Rum Diary,Christi Dembrowski
The Rum Diary,Tim Headington
The Rum Diary,Graham King
The Three Stooges,John Debney
The Three Stooges,Sean Hayes
The Three Stooges,Chris Diamantopoulos
The Three Stooges,Will Sasso
The Three Stooges,Jane Lynch
The Three Stooges,Bobby Farrelly
The Three Stooges,Peter Farrelly
The Three Stooges,Mike Cerrone
The Three Stooges,Bradley Thomas
The Three Stooges,Charles B. Wessler
Motherless Brooklyn,Daniel Pemberton
Motherless Brooklyn,Edward Norton
Motherless Brooklyn,Gugu Mbatha-Raw
Motherless Brooklyn,Alec Baldwin
Motherless Brooklyn,Willem Dafoe
Motherless Brooklyn,Jonathan Lethem
Motherless Brooklyn,Michael Bederman
Motherless Brooklyn,Bill Migliore
Motherless Brooklyn,Gigi Pritzker
Motherless Brooklyn,Rachel Shane
1990 Kaliyuga Vishwamitra,Pradeep Shakti
Tangled,Roy Conli
Tangled,Mandy Moore
Tangled,Zachary Levi
Tangled,Donna Murphy
Tangled,Ron Perlman
Tangled,Nathan Greno
Tangled,Byron Howard
Tangled,Dan Fogelman
Tangled,Jacob Grimm
Tangled,Wilhelm Grimm
John Carter,Jim Morris
John Carter,Taylor Kitsch
John Carter,Lynn Collins
John Carter,Willem Dafoe
John Carter,Samantha Morton
John Carter,Andrew Stanton
John Carter,Mark Andrews
John Carter,Michael Chabon
John Carter,Edgar Rice Burroughs
John Carter,Lindsey Collins
Action Jackson,Sandeep Chowta
Action Jackson,Shahid Kapoor
Action Jackson,Ajay Devgn
Action Jackson,Yami Gautam
Action Jackson,Prabhas
Action Jackson,Prabhu Deva
Action Jackson,A.C. Mughil
Action Jackson,Shiraz Ahmed
Action Jackson,Sunil Lulla
Action Jackson,Gordhan Tanwani
In Secret,Pete Shilaimon
In Secret,Elizabeth Olsen
In Secret,Tom Felton
In Secret,Jessica Lange
In Secret,Oscar Isaac
In Secret,Charlie Stratton
In Secret,Émile Zola
In Secret,Neal Bell
In Secret,William Horberg
In Secret,Mickey Liddell
Cowboys & Aliens,Hawk Ostby
Cowboys & Aliens,Daniel Craig
Cowboys & Aliens,Harrison Ford
Cowboys & Aliens,Olivia Wilde
Cowboys & Aliens,Abigail Spencer
Cowboys & Aliens,Jon Favreau
Cowboys & Aliens,Roberto Orci
Cowboys & Aliens,Alex Kurtzman
Cowboys & Aliens,Damon Lindelof
Cowboys & Aliens,Mark Fergus
Tekken,Brian J. Reynolds
Tekken,Jonathan Patrick Foo
Tekken,Kelly Overton
Tekken,Cary-Hiroyuki Tagawa
Tekken,Ian Anthony Dale
Tekken,Dwight H. Little
Tekken,Alan B. McElroy
Tekken,Benedict Carver
Tekken,Steven Paul
Tekken,John Hunter
Dinner for Schmucks,Walter F. Parkes
Dinner for Schmucks,Steve Carell
Dinner for Schmucks,Paul Rudd
Dinner for Schmucks,Stephanie Szostak
Dinner for Schmucks,Zach Galifianakis
Dinner for Schmucks,Jay Roach
