Actor,Movies
Dilip Kotalgi,['Vazir']
Kamal Adeep,['Vazir']
Kamal Adib,['Vazir']
Pratibha Amrutey,['Vazir']
Varda Baal,['Vazir']
Sanjay D Rawal,['Vazir']
Sudhir Moghe,['Vazir']
Ujwal Thengdi,['Vazir']
Shreedhar Phadke,['Vazir']
Thomas A. Xavier,['Vazir']
Jagdish Raj,['हर हर महादेव']
Dara Singh Randhawa,['हर हर महादेव']
Jayshree Gadkar,['हर हर महादेव']
Shahu Modak,['हर हर महादेव']
Padma Khanna,['हर हर महादेव']
Chandrakant,"['हर हर महादेव', 'Chhatrapati Shivaji']"
Anandji Veerji Shah,['हर हर महादेव']
Kalyanji Veerji Shah,['हर हर महादेव']
Abhi Bhattacharya,['हर हर महादेव']
Aruna Irani,"['हर हर महादेव', 'लपवा छपवी', 'Mahua', 'Khatta Meetha', 'मितवा']"
V. Ravichandran,"['Premaloka', 'Ravi Bopanna', 'Drishya 2', 'Kranti', 'Maanikya', 'Thirumannam Ennum Nikkah', 'Drishya', 'Hebbuli', 'Kurukshetra']"
Juhi Chawla,"['Premaloka', 'I Am', 'रामायण: द एपिक', 'Son of Sardaar', 'Gulaab Gang', 'Hume Tumse Pyaar Kitna', 'Ek Ladki Ko Dekha Toh Aisa Laga', 'Sharmaji Namkeen']"
Vishnuvardhan,"['Premaloka', 'Shershaah', 'Sab Ka Rakhwala', 'Panjaa', 'Player: Ek Khiladi']"
Ambarish,"['Premaloka', 'Nafrat Ki Aandhi', 'Ambareesha', 'Andar Bahar', 'Doddmane Hudga', 'Kurukshetra']"
Panchu Arunachalam,['Premaloka']
Hamsalekha,"['Premaloka', 'Bicchugatthi Chapter 1', 'Raja Huli']"
R. Madhusudhan,['Premaloka']
Nandita Das,"['परिणति', 'I Am', 'Zwigato', 'Neer Paravai', 'Albert Pinto Ko Gussa Kyun Aata Hai?', 'Manto']"
Basant Josalkar,['परिणति']
Surekha Sikri,"['परिणति', 'Ghost Stories', 'Kya Meri Sonam Gupta Bewafa Hai']"
Sudhir Kulkarni,['परिणति']
Sharda Desoares,['परिणति']
Prakash Jha,"['परिणति', 'Pareeksha', 'Odd Couple', 'Raajneeti', 'Bhoot Uncle Tusi Great Ho', 'The Impossible Murder', 'Turning Thirty', 'Tu Aahes Tari Kon...?', 'आरक्षण', 'High Tide', 'Chakravyuh', 'Dirty Politics', 'SOS: Secrets of Sex', 'Lipstick Under My Burkha', 'Fraud Saiyyan', 'Saand Ki Aankh']"
H. Banerjee,"['परिणति', 'Vishwaroop']"
Vijayadan Detha,"['परिणति', 'कांचली', 'Lajwanti']"
Raghunath Seth,['परिणति']
B.D. Singh,['परिणति']
Alka Kubal,['लपवा छपवी']
Lata Arun,['लपवा छपवी']
Laxmikant Berde,"['लपवा छपवी', 'Zapatlela 2']"
Priya Arun Berde,"['लपवा छपवी', 'अहिल्या झुंज एकाकी', 'लकडाऊन', 'Natarang', 'Varhadi Vajantri']"
Ramesh Bhatkar,"['लपवा छपवी', 'Maalik Ek', 'Taani']"
Arun Vasudev Karnatki,['लपवा छपवी']
Nivedita Joshi,['लपवा छपवी']
Sudhir Joshi,['लपवा छपवी']
Avinash Kharshikar,['लपवा छपवी']
Shiv Kumar,['Mahua']
Anjana Mumtaz,"['Mahua', 'The Battle of Bhima Koregaon']"
Premnath Malhotra,['Mahua']
Murad,['Mahua']
Bibhuti Mitra,['Mahua']
Manohar Lal Sonik,['Mahua']
Om Prakash Sonik,['Mahua']
Ulhas,['Mahua']
Jankidas,['Mahua']
Parshwanath Yeshwant Altekar,['Chhatrapati Shivaji']
Gajanan Jagirdar,['Chhatrapati Shivaji']
Prithviraj Kapoor,['Chhatrapati Shivaji']
Bhalji Pendharkar,['Chhatrapati Shivaji']
C. Ramchandra,['Chhatrapati Shivaji']
Lata Mangeshkar,['Chhatrapati Shivaji']
Lalita Pawar,['Chhatrapati Shivaji']
Master Vithal,['Chhatrapati Shivaji']
Satyam Lanka,['Dongalunnaru Jagratha']
Seeta Rama Anjaneyulu Chilakalapudi,['Dongalunnaru Jagratha']
Kongara Jaggaiah,['Dongalunnaru Jagratha']
Varalakshmi G.,['Dongalunnaru Jagratha']
Gummadi,['Dongalunnaru Jagratha']
Narasimha Rao Bhimavarapu,['Dongalunnaru Jagratha']
Valluri Balakrishna,['Dongalunnaru Jagratha']
Chadalavada,['Dongalunnaru Jagratha']
Girija,['Dongalunnaru Jagratha']
Hemalatha,"['Dongalunnaru Jagratha', 'Aisi Deewangi']"
John Tobias,"['Mortal Kombat', 'Mortal Kombat Legends: Battle of the Realms', 'मौत का संग्राम महापुरूष: स्नो ब्लाइंड', ""Mortal Kombat Legends: Scorpion's Revenge""]"
Lewis Tan,"['Mortal Kombat', 'Fistful of Vengeance', 'About Fate']"
Jessica McNamee,"['Mortal Kombat', 'The Visitor', 'The Neighbor', 'Black Water: Abyss']"
Josh Lawson,"['Mortal Kombat', 'Long Story Short', 'Blaze', 'True Spirit', 'The Little Death', 'Holly Slept Over']"
Joe Taslim,"['Mortal Kombat', 'The Night Comes for Us']"
Simon McQuoid,['Mortal Kombat']
Greg Russo,['Mortal Kombat']
Dave Callaham,"['Mortal Kombat', 'Godzilla', 'The Expendables', 'Zombieland: Double Tap', 'The Expendables 2', 'The Expendables 3', 'Wonder Woman 1984', 'स्पाइडर-मैन: स्पाइडर-वर्स के पार', 'Shang-Chi and the Legend of the Ten Rings']"
Oren Uziel,"['Mortal Kombat', 'The Lost City', '22 Jump Street', 'The Cloverfield Paradox', 'Escape Room: Tournament of Champions']"
